alpha=-3,00000;gamma=1,00000;L=1;
26,1000;5,80000;8,70000;2,60000
alpha=-3,00000;gamma=1,00000;L=3;
29,0000;7,90000;0,00000;1,57797
alpha=-3,00000;gamma=1,00000;L=5;
29,0000;8,90000;0,00000;2,07123
alpha=-3,00000;gamma=1,00000;L=8;
29,0000;9,20000;0,00000;1,53623
alpha=-4,00000;gamma=1,00000;L=1;
29,0000;8,30000;0,00000;1,79165
alpha=-4,00000;gamma=1,00000;L=3;
29,0000;9,40000;0,00000;1,95959
alpha=-4,00000;gamma=1,00000;L=5;
29,0000;10,6000;0,00000;2,41661
alpha=-4,00000;gamma=1,00000;L=8;
29,0000;10,4000;0,00000;1,85472
alpha=-5,00000;gamma=1,00000;L=1;
29,0000;9,20000;0,00000;1,24900
alpha=-5,00000;gamma=1,00000;L=3;
29,0000;10,2000;0,00000;1,24900
alpha=-5,00000;gamma=1,00000;L=5;
29,0000;12,4000;0,00000;1,68523
alpha=-5,00000;gamma=1,00000;L=8;
29,0000;12,0000;0,00000;2,14476
alpha=-10,0000;gamma=1,00000;L=1;
26,1000;9,60000;8,70000;3,49857
alpha=-10,0000;gamma=1,00000;L=3;
29,0000;13,0000;0,00000;2,56905
alpha=-10,0000;gamma=1,00000;L=5;
29,0000;12,9000;0,00000;1,70000
alpha=-10,0000;gamma=1,00000;L=8;
29,0000;12,2000;0,00000;1,72047
alpha=-3,00000;gamma=1,00000;L=1;
29,0000;6,80000;0,00000;1,93907
alpha=-3,00000;gamma=1,00000;L=3;
29,0000;8,50000;0,00000;2,41868
alpha=-3,00000;gamma=1,00000;L=5;
29,0000;9,40000;0,00000;1,49666
alpha=-3,00000;gamma=1,00000;L=8;
29,0000;9,50000;0,00000;1,85742
